Product Name,Description,Faceveneer,Thickness (mm),Core Material,Glue,Weight/Board,Chemical Dipping,Film Face Color,Film Face GSM,Wire Mesh,Grade,Rate/SqFt
Commercial Plywood,MR (Moisture Resistant),White Recon,4.5,,,,FALSE,,,,MR (Moisture Resistant),19.5
Commercial Plywood,MR (Moisture Resistant),White Recon,4.5,,,,TRUE,,,,MR (Moisture Resistant),21
Commercial Plywood,MR (Moisture Resistant),White Recon,6,,,,FALSE,,,,MR (Moisture Resistant),24
Commercial Plywood,MR (Moisture Resistant),White Recon,6,,,,TRUE,,,,MR (Moisture Resistant),25.5
Commercial Plywood,MR (Moisture Resistant),White Recon,8,,,,FALSE,,,,MR (Moisture Resistant),24.5
Commercial Plywood,MR (Moisture Resistant),White Recon,8,,,,TRUE,,,,MR (Moisture Resistant),26
Commercial Plywood,MR (Moisture Resistant),White Recon,10,,,,FALSE,,,,MR (Moisture Resistant),30
Commercial Plywood,MR (Moisture Resistant),White Recon,10,,,,TRUE,,,,MR (Moisture Resistant),31.5
Commercial Plywood,MR (Moisture Resistant),White Recon,12,,,,FALSE,,,,MR (Moisture Resistant),31.5
Commercial Plywood,MR (Moisture Resistant),White Recon,12,,,,TRUE,,,,MR (Moisture Resistant),33
Commercial Plywood,MR (Moisture Resistant),White Recon,14,,,,FALSE,,,,MR (Moisture Resistant),34.5
Commercial Plywood,MR (Moisture Resistant),White Recon,14,,,,TRUE,,,,MR (Moisture Resistant),36
Commercial Plywood,MR (Moisture Resistant),White Recon,16,,,,FALSE,,,,MR (Moisture Resistant),37.5
Commercial Plywood,MR (Moisture Resistant),White Recon,16,,,,TRUE,,,,MR (Moisture Resistant),39
Commercial Plywood,MR (Moisture Resistant),White Recon,18,,,,FALSE,,,,MR (Moisture Resistant),41
Commercial Plywood,MR (Moisture Resistant),White Recon,18,,,,TRUE,,,,MR (Moisture Resistant),42.5
Commercial Plywood,MR (Moisture Resistant),White Recon,20,,,,FALSE,,,,MR (Moisture Resistant),42
Commercial Plywood,MR (Moisture Resistant),White Recon,20,,,,TRUE,,,,MR (Moisture Resistant),43.5
Commercial Plywood,MR (Moisture Resistant),White Recon,25,,,,FALSE,,,,MR (Moisture Resistant),59.5
Commercial Plywood,MR (Moisture Resistant),White Recon,25,,,,TRUE,,,,MR (Moisture Resistant),61
Commercial Plywood,MR (Moisture Resistant),Red Recon,4.5,,,,FALSE,,,,MR (Moisture Resistant),19.5
Commercial Plywood,MR (Moisture Resistant),Red Recon,4.5,,,,TRUE,,,,MR (Moisture Resistant),21
Commercial Plywood,MR (Moisture Resistant),Red Recon,6,,,,FALSE,,,,MR (Moisture Resistant),24
Commercial Plywood,MR (Moisture Resistant),Red Recon,6,,,,TRUE,,,,MR (Moisture Resistant),25.5
Commercial Plywood,MR (Moisture Resistant),Red Recon,8,,,,FALSE,,,,MR (Moisture Resistant),24.5
Commercial Plywood,MR (Moisture Resistant),Red Recon,8,,,,TRUE,,,,MR (Moisture Resistant),26
Commercial Plywood,MR (Moisture Resistant),Red Recon,10,,,,FALSE,,,,MR (Moisture Resistant),30
Commercial Plywood,MR (Moisture Resistant),Red Recon,10,,,,TRUE,,,,MR (Moisture Resistant),31.5
Commercial Plywood,MR (Moisture Resistant),Red Recon,12,,,,FALSE,,,,MR (Moisture Resistant),31.5
Commercial Plywood,MR (Moisture Resistant),Red Recon,12,,,,TRUE,,,,MR (Moisture Resistant),33
Commercial Plywood,MR (Moisture Resistant),Red Recon,14,,,,FALSE,,,,MR (Moisture Resistant),34.5
Commercial Plywood,MR (Moisture Resistant),Red Recon,14,,,,TRUE,,,,MR (Moisture Resistant),36
Commercial Plywood,MR (Moisture Resistant),Red Recon,16,,,,FALSE,,,,MR (Moisture Resistant),37.5
Commercial Plywood,MR (Moisture Resistant),Red Recon,16,,,,TRUE,,,,MR (Moisture Resistant),39
Commercial Plywood,MR (Moisture Resistant),Red Recon,18,,,,FALSE,,,,MR (Moisture Resistant),41
Commercial Plywood,MR (Moisture Resistant),Red Recon,18,,,,TRUE,,,,MR (Moisture Resistant),42.5
Commercial Plywood,MR (Moisture Resistant),Red Recon,20,,,,FALSE,,,,MR (Moisture Resistant),42
Commercial Plywood,MR (Moisture Resistant),Red Recon,20,,,,TRUE,,,,MR (Moisture Resistant),43.5
Commercial Plywood,MR (Moisture Resistant),Red Recon,25,,,,FALSE,,,,MR (Moisture Resistant),59.5
Commercial Plywood,MR (Moisture Resistant),Red Recon,25,,,,TRUE,,,,MR (Moisture Resistant),61
Commercial Plywood,MR (Moisture Resistant),Okoume,4.5,,,,FALSE,,,,MR (Moisture Resistant),19.5
Commercial Plywood,MR (Moisture Resistant),Okoume,4.5,,,,TRUE,,,,MR (Moisture Resistant),21
Commercial Plywood,MR (Moisture Resistant),Okoume,6,,,,FALSE,,,,MR (Moisture Resistant),24
Commercial Plywood,MR (Moisture Resistant),Okoume,6,,,,TRUE,,,,MR (Moisture Resistant),25.5
Commercial Plywood,MR (Moisture Resistant),Okoume,8,,,,FALSE,,,,MR (Moisture Resistant),24.5
Commercial Plywood,MR (Moisture Resistant),Okoume,8,,,,TRUE,,,,MR (Moisture Resistant),26
Commercial Plywood,MR (Moisture Resistant),Okoume,10,,,,FALSE,,,,MR (Moisture Resistant),30
Commercial Plywood,MR (Moisture Resistant),Okoume,10,,,,TRUE,,,,MR (Moisture Resistant),31.5
Commercial Plywood,MR (Moisture Resistant),Okoume,12,,,,FALSE,,,,MR (Moisture Resistant),31.5
Commercial Plywood,MR (Moisture Resistant),Okoume,12,,,,TRUE,,,,MR (Moisture Resistant),33
Commercial Plywood,MR (Moisture Resistant),Okoume,14,,,,FALSE,,,,MR (Moisture Resistant),34.5
Commercial Plywood,MR (Moisture Resistant),Okoume,14,,,,TRUE,,,,MR (Moisture Resistant),36
Commercial Plywood,MR (Moisture Resistant),Okoume,16,,,,FALSE,,,,MR (Moisture Resistant),37.5
Commercial Plywood,MR (Moisture Resistant),Okoume,16,,,,TRUE,,,,MR (Moisture Resistant),39
Commercial Plywood,MR (Moisture Resistant),Okoume,18,,,,FALSE,,,,MR (Moisture Resistant),41
Commercial Plywood,MR (Moisture Resistant),Okoume,18,,,,TRUE,,,,MR (Moisture Resistant),42.5
Commercial Plywood,MR (Moisture Resistant),Okoume,20,,,,FALSE,,,,MR (Moisture Resistant),42
Commercial Plywood,MR (Moisture Resistant),Okoume,20,,,,TRUE,,,,MR (Moisture Resistant),43.5
